"[all run data]","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen","[step]","total_world_collagen","percent-pixel-collagen"
,"49","284821","56.533673169297124","49","292393","56.465052445838644","49","289111","57.28850112734046","49","248275","55.57298304087834","49","253105","53.475149495147534","49","287035","56.053328105087736","49","293623","55.710224487795315","49","277297","55.79845113224194","49","308950","60.08234486815019","49","295225","56.91598862856583"
,"50","291265","56.66111165572003","50","299536","56.65130869522596","50","295852","57.494363297715914","50","255031","55.720027448289386","50","259885","53.6123909420645","50","293797","56.298402117439466","50","300667","55.89648073718263","50","284104","55.92588961866484","50","315151","60.209783354573084","50","301993","57.072835996470936"
,"51","298360","56.8277619841192","51","306691","56.974806391530244","51","302707","57.661013626115086","51","261961","55.89648073718263","51","266677","53.808450151945884","51","300967","56.55327909028527","51","307702","56.01411626311146","51","291301","56.15135771002843","51","321907","60.298009999019705","51","309130","57.28850112734046"
,"52","305473","56.96500343103617","52","313570","57.141456719929415","52","309610","57.915890598960885","52","268846","56.02391922360553","52","273451","53.906479756886576","52","307972","56.72973237917851","52","314707","56.141554749534365","52","298339","56.38662876188609","52","328570","60.386236643466326","52","316066","57.51396921870405"
,"53","312070","57.01401823350652","53","320764","57.39633369277522","53","316579","58.111949808842276","53","275263","56.141554749534365","53","280294","53.95549455935693","53","314962","56.88657974708362","53","321532","56.25919027546319","53","305344","56.641505734731886","53","335299","60.45485736692481","53","322870","57.7198313890795"
,"54","318721","57.082638956965006","54","327955","57.70022546809137","54","323767","58.30800901872365","54","282112","56.33761395941575","54","287266","54.092736006273896","54","321826","57.03362415449465","54","328456","56.32781099892167","54","312445","56.87677678658955","54","342280","60.56268993235957","54","329863","57.9452994804431"
,"55","325504","57.2100774433879","55","335131","57.925693559454956","55","330160","58.46485638662876","55","288880","56.51406724830899","55","294289","54.22017449269679","55","328945","57.151259680423486","55","335674","56.455249485344574","55","319237","57.12185079894128","55","349414","60.73914322125282","55","336625","58.20017645328889"
,"56","332059","57.28850112734046","56","341854","58.180570532300756","56","336874","58.57268895206352","56","295660","56.631702774237816","56","301300","54.30840113714342","56","336118","57.23948632487011","56","342793","56.7003234976963","56","326128","57.4355455347515","56","356050","60.98421723360455","56","343207","58.39623566317027"
,"57","338899","57.39633369277522","57","348625","58.36682678168807","57","343876","58.72953631996863","57","302233","56.77874718164886","57","308437","54.49465738653073","57","343690","57.42574257425743","57","350062","56.87677678658955","57","332932","57.74924027056171","57","362956","61.21948828546221","57","350119","58.6119007940398"
,"58","345658","57.592392902656606","58","355444","58.53347711008725","58","350647","58.8667777668856","58","309004","56.91598862856583","58","315607","54.602489951965495","58","351079","57.72963434957357","58","357136","57.043427114988724","58","339916","57.8472698755024","58","369769","61.395941574355454","58","357367","58.79815704342711"
,"59","352462","57.72963434957357","59","362224","58.7393392804627","59","357574","59.05303401627292","59","315745","57.02382119400059","59","322708","54.72012547789432","59","357925","57.9747083619253","59","364210","57.21988040388197","59","346888","58.01392020390158","59","376369","61.62140966571904","59","364534","58.935398490344085"
,"60","359308","57.886481717478674","60","369244","58.856974806391534","60","364039","59.20988138417802","60","322528","57.131653759435345","60","329644","54.759337319870596","60","365110","58.09234388785413","60","371119","57.36692481129301","60","353770","58.180570532300756","60","383350","61.80766591510636","60","371140","59.11185177923733"
